codigoUc;mesReferencia;valorFatura;dataPagamento;banco
3095118657;01/05/2025;1.069,28;02/07/2025;C6_BANK
3095208677;01/05/2025;1.943,96;02/07/2025;C6_BANK
4004082808;01/05/2025;2.087,09;04/07/2025;C6_BANK
4003327541;01/06/2025;917,15;10/07/2025;C6_BANK
3092607662;01/06/2025;590,05;16/07/2025;C6_BANK
3090691461;01/06/2025;297,86;16/07/2025;C6_BANK
3095677733;01/06/2025;3.886,09;16/07/2025;C6_BANK
3090656985;01/05/2025;660,79;16/07/2025;C6_BANK
3090656985;01/06/2025;192,16;16/07/2025;C6_BANK
3090582291;01/06/2025;1.345,75;21/07/2025;C6_BANK
3082099467;01/06/2025;492,16;22/07/2025;C6_BANK
3095196256;01/06/2025;1.023,42;22/07/2025;C6_BANK
3091496341;01/06/2025;2.302,40;22/07/2025;C6_BANK
3092636445;01/06/2025;616,44;25/07/2025;C6_BANK
4003993154;01/06/2025;1.155,84;25/07/2025;C6_BANK
3090693847;01/05/2025;2.409,35;25/07/2025;C6_BANK
3090693847;01/06/2025;94,82;25/07/2025;C6_BANK
4004082808;01/06/2025;1.816,46;25/07/2025;C6_BANK
4002293699;01/06/2025;553,52;28/07/2025;C6_BANK
3092608534;01/06/2025;142,56;31/07/2025;C6_BANK
3090623032;01/06/2025;559,23;31/07/2025;C6_BANK
3092707047;01/06/2025;196,16;31/07/2025;C6_BANK
4003698872;01/07/2025;2.759,54;01/08/2025;C6_BANK
3090582274;01/07/2025;686,79;01/08/2025;C6_BANK
3091159533;01/07/2025;551,29;04/08/2025;C6_BANK
3095209053;01/06/2025;747;04/08/2025;C6_BANK
3085723679;01/06/2025;224,1;04/08/2025;C6_BANK
3095309146;01/06/2025;3.054,61;04/08/2025;C6_BANK
3095625622;01/06/2025;403,93;04/08/2025;C6_BANK
3095209861;01/06/2025;345,41;11/08/2025;C6_BANK
3095209861;01/07/2025;336,61;11/08/2025;C6_BANK
3095194198;01/06/2025;538,19;11/08/2025;C6_BANK
3090783930;01/06/2025;2.529,43;11/08/2025;C6_BANK
3091159533;01/06/2025;349,85;11/08/2025;C6_BANK
3090585494;01/06/2025;2.566,78;11/08/2025;C6_BANK
3095156869;01/06/2025;916,85;11/08/2025;C6_BANK
3095194198;01/06/2025;538,19;11/08/2025;C6_BANK
3095208677;01/06/2025;392,24;11/08/2025;C6_BANK
3093262301;01/06/2025;175,48;11/08/2025;C6_BANK
3095046800;01/06/2025;434,27;11/08/2025;C6_BANK
3095322370;01/06/2025;380,55;11/08/2025;C6_BANK
3090657453;01/06/2025;373,24;11/08/2025;C6_BANK
4002435906;01/06/2025;209,49;11/08/2025;C6_BANK
4003993154;01/07/2025;1.670,42;11/08/2025;C6_BANK
3095196256;01/07/2025;1.547,96;11/08/2025;C6_BANK
3091496341;01/07/2025;1.119,15;11/08/2025;C6_BANK
3090691461;01/07/2025;366,87;12/08/2025;C6_BANK
3090657009;01/06/2025;280,61;12/08/2025;C6_BANK
3095118657;01/06/2025;342,78;12/08/2025;C6_BANK
3095625622;01/07/2025;114,99;12/08/2025;C6_BANK
3095309146;01/07/2025;2.753,49;12/08/2025;C6_BANK
3092707047;01/07/2025;261,39;12/08/2025;C6_BANK
4003327541;01/07/2025;328,41;12/08/2025;C6_BANK
3095147868;01/06/2025;419,14;12/08/2025;C6_BANK
3095147868;01/07/2025;269,7;12/08/2025;C6_BANK
3090657009;01/06/2025;280,61;12/08/2025;C6_BANK
3090657009;01/07/2025;529,01;12/08/2025;C6_BANK
3090582291;01/07/2025;390,1;12/08/2025;C6_BANK
3093257025;01/06/2025;147,44;12/08/2025;C6_BANK
3093257025;01/07/2025;318,73;12/08/2025;C6_BANK
4003327543;01/06/2025;619,66;12/08/2025;C6_BANK
4003327543;01/07/2025;257,79;12/08/2025;C6_BANK
4003327542;01/06/2025;168,74;12/08/2025;C6_BANK
4003327542;01/07/2025;80,2;12/08/2025;C6_BANK
